sample_id,domain,experience_level,resume_text,matched_skills,missing_skills,n_matched,n_total_skills,match_ratio,cosine_sim,skill_density,exp_bonus,keyword_overlap,seniority_signal,domain_term_freq,skill_depth,score
11,Data Science,Entry-Level,Entry-level Data Science intern with foundational knowledge and strong academic background. Skills: Python. Background includes entry level roles.,Python,R | SQL | Pandas | NumPy | Matplotlib | Scikit-learn | TensorFlow | Tableau | Power BI | Statistics | Machine Learning | Data Visualization | Excel | Spark,1,15,0.0667,0.0621,0.4049,0.3,0.0544,0.281,0.0399,0.125,10
12,Data Science,Entry-Level,"Entry-level Data Science intern with foundational knowledge and strong academic background. Skills: Spark, TensorFlow. Background includes fresher roles.",Spark | TensorFlow,Python | R | SQL | Pandas | NumPy | Matplotlib | Scikit-learn | Tableau | Power BI | Statistics | Machine Learning | Data Visualization | Excel,2,15,0.1333,0.112,1.0,0.3,0.1045,0.2101,0.1128,0.125,15
13,Data Science,Entry-Level,"Junior Data Science developer eager to learn and grow in a fast-paced environment. Skills: Tableau, NumPy, SQL, R. Background includes junior roles.",Tableau | NumPy | SQL | R,Python | Pandas | Matplotlib | Scikit-learn | TensorFlow | Power BI | Statistics | Machine Learning | Data Visualization | Excel | Spark,4,15,0.2667,0.1815,1.0,0.3,0.2646,0.0852,0.1752,0.375,17
14,Data Science,Entry-Level,"Entry-level Data Science intern with foundational knowledge and strong academic background. Skills: Matplotlib, R, Power BI, Spark, Statistics. Background includes junior roles.",Matplotlib | R | Power BI | Spark | Statistics,Python | SQL | Pandas | NumPy | Scikit-learn | TensorFlow | Tableau | Machine Learning | Data Visualization | Excel,5,15,0.3333,0.226,1.0,0.3,0.297,0.0751,0.2522,0.25,26
15,Data Science,Entry-Level,"Junior Data Science developer eager to learn and grow in a fast-paced environment. Skills: Spark, Power BI, Data Visualization, Tableau, Scikit-learn. Background includes fresher roles.",Spark | Power BI | Data Visualization | Tableau | Scikit-learn,Python | R | SQL | Pandas | NumPy | Matplotlib | TensorFlow | Statistics | Machine Learning | Excel,5,15,0.3333,0.2447,1.0,0.3,0.3102,0.0131,0.2994,0.125,22
16,Data Science,Mid-Level,"Data Science engineer with 4+ years of hands-on experience in building production systems. Skills: R, Data Visualization, Statistics, Matplotlib, Power BI, Pandas. Background includes developer roles.",R | Data Visualization | Statistics | Matplotlib | Power BI | Pandas | Spark | Scikit-learn | Excel | Python,SQL | NumPy | TensorFlow | Tableau | Machine Learning,10,15,0.6667,0.5104,1.0,0.6,0.5204,0.3941,0.4536,0.625,59
17,Data Science,Mid-Level,"Mid-level Data Science developer with 3+ years working on real-world projects. Skills: Python, NumPy, Pandas, Machine Learning, Tableau, Excel. Background includes specialist roles.",Python | NumPy | Pandas | Machine Learning | Tableau | Excel,R | SQL | Matplotlib | Scikit-learn | TensorFlow | Power BI | Statistics | Data Visualization | Spark,6,15,0.4,0.3653,1.0,0.6,0.3818,0.2546,0.3192,0.375,40
18,Data Science,Mid-Level,"Mid-level Data Science developer with 3+ years working on real-world projects. Skills: Statistics, Spark, Excel, Matplotlib, Python, Machine Learning. Background includes developer roles.",Statistics | Spark | Excel | Matplotlib | Python | Machine Learning,R | SQL | Pandas | NumPy | Scikit-learn | TensorFlow | Tableau | Power BI | Data Visualization,6,15,0.4,0.2661,1.0,0.6,0.3206,0.3502,0.2332,0.25,40
19,Data Science,Mid-Level,"Data Science engineer with 4+ years of hands-on experience in building production systems. Skills: Excel, NumPy, TensorFlow, Scikit-learn, Spark, R. Background includes developer roles.",Excel | NumPy | TensorFlow | Scikit-learn | Spark | R | Pandas | Python | Machine Learning | Statistics,SQL | Matplotlib | Tableau | Power BI | Data Visualization,10,15,0.6667,0.5989,1.0,0.6,0.5098,0.4492,0.3866,0.75,63
20,Data Science,Mid-Level,"Mid-level Data Science developer with 3+ years working on real-world projects. Skills: Tableau, NumPy, Matplotlib, Machine Learning, Data Visualization, Statistics. Background includes developer roles.",Tableau | NumPy | Matplotlib | Machine Learning | Data Visualization | Statistics | Spark,Python | R | SQL | Pandas | Scikit-learn | TensorFlow | Power BI | Excel,7,15,0.4667,0.3069,1.0,0.6,0.338,0.3713,0.3691,0.25,40
21,Data Science,Mid-Level,"Data Science engineer with 4+ years of hands-on experience in building production systems. Skills: Machine Learning, Statistics, Pandas, SQL, Scikit-learn. Background includes 4+ years roles.",Machine Learning | Statistics | Pandas | SQL | Scikit-learn,Python | R | NumPy | Matplotlib | TensorFlow | Tableau | Power BI | Data Visualization | Excel | Spark,5,15,0.3333,0.2778,1.0,0.6,0.2581,0.3424,0.2717,0.375,40
22,Data Science,Mid-Level,"Data Science engineer with 4+ years of hands-on experience in building production systems. Skills: Excel, SQL, Matplotlib, Statistics, Tableau, TensorFlow. Background includes engineer roles.",Excel | SQL | Matplotlib | Statistics | Tableau | TensorFlow | R | Machine Learning,Python | Pandas | NumPy | Scikit-learn | Power BI | Data Visualization | Spark,8,15,0.5333,0.4066,1.0,0.6,0.4538,0.5426,0.4163,0.5,53
23,Data Science,Mid-Level,"Mid-level Data Science developer with 3+ years working on real-world projects. Skills: Excel, Matplotlib, NumPy, Machine Learning, Tableau, SQL. Background includes 3+ years roles.",Excel | Matplotlib | NumPy | Machine Learning | Tableau | SQL | Data Visualization | Power BI,Python | R | Pandas | Scikit-learn | TensorFlow | Statistics | Spark,8,15,0.5333,0.434,1.0,0.6,0.4735,0.5282,0.4149,0.375,48
24,Data Science,Mid-Level,"Mid-level Data Science developer with 3+ years working on real-world projects. Skills: TensorFlow, Power BI, Pandas, Matplotlib, Tableau, NumPy. Background includes developer roles.",TensorFlow | Power BI | Pandas | Matplotlib | Tableau | NumPy | Statistics | Python,R | SQL | Scikit-learn | Machine Learning | Data Visualization | Excel | Spark,8,15,0.5333,0.477,1.0,0.6,0.4527,0.4772,0.3584,0.625,51
25,Data Science,Mid-Level,"Mid-level Data Science developer with 3+ years working on real-world projects. Skills: Power BI, Excel, Scikit-learn, Matplotlib, SQL, Python. Background includes engineer roles.",Power BI | Excel | Scikit-learn | Matplotlib | SQL | Python | Statistics,R | Pandas | NumPy | TensorFlow | Tableau | Machine Learning | Data Visualization | Spark,7,15,0.4667,0.3212,1.0,0.6,0.3744,0.5723,0.3969,0.5,51
26,Data Science,Mid-Level,"Experienced Data Science specialist with 5 years of industry experience. Skills: R, Power BI, TensorFlow, Statistics, Machine Learning. Background includes engineer roles.",R | Power BI | TensorFlow | Statistics | Machine Learning,Python | SQL | Pandas | NumPy | Matplotlib | Scikit-learn | Tableau | Data Visualization | Excel | Spark,5,15,0.3333,0.3014,1.0,0.6,0.2653,0.58,0.2942,0.25,40
27,Data Science,Mid-Level,"Mid-level Data Science developer with 3+ years working on real-world projects. Skills: TensorFlow, Machine Learning, R, Matplotlib, Scikit-learn, Python. Background includes 3+ years roles.",TensorFlow | Machine Learning | R | Matplotlib | Scikit-learn | Python | Statistics,SQL | Pandas | NumPy | Tableau | Power BI | Data Visualization | Excel | Spark,7,15,0.4667,0.3114,1.0,0.6,0.3885,0.5551,0.314,0.625,49
28,Data Science,Mid-Level,"Data Science engineer with 4+ years of hands-on experience in building production systems. Skills: Machine Learning, Spark, Pandas, Python, NumPy, Excel. Background includes developer roles.",Machine Learning | Spark | Pandas | Python | NumPy | Excel | Statistics | SQL | R,Matplotlib | Scikit-learn | TensorFlow | Tableau | Power BI | Data Visualization,9,15,0.6,0.5676,1.0,0.6,0.4867,0.5251,0.5289,0.625,63
29,Data Science,Mid-Level,"Data Science engineer with 4+ years of hands-on experience in building production systems. Skills: Spark, Python, Power BI, NumPy, TensorFlow. Background includes engineer roles.",Spark | Python | Power BI | NumPy | TensorFlow,R | SQL | Pandas | Matplotlib | Scikit-learn | Tableau | Statistics | Machine Learning | Data Visualization | Excel,5,15,0.3333,0.242,1.0,0.6,0.2905,0.4964,0.2728,0.375,40
30,Data Science,Mid-Level,"Mid-level Data Science developer with 3+ years working on real-world projects. Skills: SQL, Scikit-learn, Power BI, Pandas, R, NumPy. Background includes specialist roles.",SQL | Scikit-learn | Power BI | Pandas | R | NumPy | Matplotlib,Python | TensorFlow | Tableau | Statistics | Machine Learning | Data Visualization | Excel | Spark,7,15,0.4667,0.3812,1.0,0.6,0.4514,0.4111,0.4189,0.75,52
31,Data Science,Mid-Level,"Data Science engineer with 4+ years of hands-on experience in building production systems. Skills: Data Visualization, Scikit-learn, Machine Learning, Power BI, NumPy, TensorFlow. Background includes 4+ years roles.",Data Visualization | Scikit-learn | Machine Learning | Power BI | NumPy | TensorFlow | Matplotlib | Python | Statistics,R | SQL | Pandas | Tableau | Excel | Spark,9,15,0.6,0.5522,1.0,0.6,0.5847,0.5835,0.3422,0.625,57
32,Data Science,Mid-Level,"Data Science engineer with 4+ years of hands-on experience in building production systems. Skills: Matplotlib, Tableau, SQL, Scikit-learn, Python, NumPy. Background includes 3+ years roles.",Matplotlib | Tableau | SQL | Scikit-learn | Python | NumPy | Statistics | Data Visualization | R,Pandas | TensorFlow | Power BI | Machine Learning | Excel | Spark,9,15,0.6,0.3958,1.0,0.6,0.4757,0.5255,0.4738,0.75,56
33,Data Science,Mid-Level,"Experienced Data Science specialist with 5 years of industry experience. Skills: TensorFlow, Power BI, Tableau, Pandas, Machine Learning, Statistics. Background includes 4+ years roles.",TensorFlow | Power BI | Tableau | Pandas | Machine Learning | Statistics | Python | Scikit-learn | NumPy,R | SQL | Matplotlib | Data Visualization | Excel | Spark,9,15,0.6,0.4893,1.0,0.6,0.4247,0.3506,0.5002,0.625,51
34,Data Science,Mid-Level,"Data Science engineer with 4+ years of hands-on experience in building production systems. Skills: Excel, Power BI, Matplotlib, TensorFlow, Pandas, NumPy. Background includes 3+ years roles.",Excel | Power BI | Matplotlib | TensorFlow | Pandas | NumPy | Machine Learning | Scikit-learn | SQL | Tableau,Python | R | Statistics | Data Visualization | Spark,10,15,0.6667,0.5833,1.0,0.6,0.5778,0.5076,0.5871,0.75,68
35,Data Science,Mid-Level,"Experienced Data Science specialist with 5 years of industry experience. Skills: TensorFlow, Data Visualization, Power BI, Machine Learning, R, Scikit-learn. Background includes 5+ years roles.",TensorFlow | Data Visualization | Power BI | Machine Learning | R | Scikit-learn,Python | SQL | Pandas | NumPy | Matplotlib | Tableau | Statistics | Excel | Spark,6,15,0.4,0.2627,1.0,0.6,0.3371,0.5325,0.2631,0.375,40
36,Data Science,Senior,"Senior Data Science professional with 8+ years of experience. Led multiple high-impact projects. Skills: Python, Power BI, Tableau, Data Visualization, TensorFlow, Machine Learning. Background includes architect roles.",Python | Power BI | Tableau | Data Visualization | TensorFlow | Machine Learning | Pandas | Matplotlib | Scikit-learn | SQL | Statistics | R | Excel | NumPy | Spark,,15,15,1.0,0.8164,1.0,0.9,0.9712,0.6741,0.7299,1.0,97
37,Data Science,Senior,"Experienced Data Science architect with 10+ years delivering enterprise-scale solutions. Skills: Statistics, Data Visualization, TensorFlow, Matplotlib, Spark, R. Background includes director roles.",Statistics | Data Visualization | TensorFlow | Matplotlib | Spark | R | Pandas | Tableau | NumPy | Python | SQL | Power BI | Scikit-learn | Excel | Machine Learning,,15,15,1.0,0.6699,1.0,0.9,0.994,0.7463,0.6651,1.0,87
38,Data Science,Senior,"Principal Data Science engineer with deep expertise and strong leadership background. Skills: R, Power BI, NumPy, Machine Learning, SQL, Python. Background includes 10+ years roles.",R | Power BI | NumPy | Machine Learning | SQL | Python | Excel | Pandas | TensorFlow | Matplotlib | Statistics,Scikit-learn | Tableau | Data Visualization | Spark,11,15,0.7333,0.6235,1.0,0.9,0.6458,0.6119,0.6143,0.875,76
39,Data Science,Senior,"Senior Data Science professional with 8+ years of experience. Led multiple high-impact projects. Skills: SQL, Scikit-learn, Excel, TensorFlow, R, Pandas. Background includes 10+ years roles.",SQL | Scikit-learn | Excel | TensorFlow | R | Pandas | Tableau | Statistics | Python | Spark,NumPy | Matplotlib | Power BI | Machine Learning | Data Visualization,10,15,0.6667,0.534,1.0,0.9,0.531,0.5461,0.4789,0.75,67
40,Data Science,Senior,"Experienced Data Science architect with 10+ years delivering enterprise-scale solutions. Skills: R, Tableau, Matplotlib, Scikit-learn, Statistics, NumPy. Background includes director roles.",R | Tableau | Matplotlib | Scikit-learn | Statistics | NumPy | SQL | Machine Learning | TensorFlow | Excel | Pandas,Python | Power BI | Data Visualization | Spark,11,15,0.7333,0.68,1.0,0.9,0.6493,0.6845,0.5221,0.875,81
41,Data Science,Senior,"Senior Data Science professional with 8+ years of experience. Led multiple high-impact projects. Skills: Pandas, R, Python, NumPy, Tableau, Matplotlib. Background includes 10+ years roles.",Pandas | R | Python | NumPy | Tableau | Matplotlib | Machine Learning | Spark | Data Visualization | Scikit-learn | SQL | TensorFlow | Statistics,Power BI | Excel,13,15,0.8667,0.6797,1.0,0.9,0.6697,0.6346,0.5911,1.0,81
42,Data Science,Senior,"Experienced Data Science architect with 10+ years delivering enterprise-scale solutions. Skills: TensorFlow, Scikit-learn, Matplotlib, Statistics, Power BI, R. Background includes senior roles.",TensorFlow | Scikit-learn | Matplotlib | Statistics | Power BI | R | NumPy | Excel | SQL | Machine Learning | Spark | Pandas,Python | Tableau | Data Visualization,12,15,0.8,0.6539,1.0,0.9,0.6636,0.5638,0.5195,0.875,74
43,Data Science,Senior,"Experienced Data Science architect with 10+ years delivering enterprise-scale solutions. Skills: SQL, Scikit-learn, Spark, Data Visualization, Excel, Tableau. Background includes director roles.",SQL | Scikit-learn | Spark | Data Visualization | Excel | Tableau | Machine Learning | Python | NumPy | Matplotlib | TensorFlow | Statistics | R | Power BI,Pandas,14,15,0.9333,0.7433,1.0,0.9,0.7056,0.6425,0.57,0.875,78
44,Data Science,Senior,"Principal Data Science engineer with deep expertise and strong leadership background. Skills: NumPy, Power BI, Scikit-learn, Data Visualization, SQL, Spark. Background includes principal roles.",NumPy | Power BI | Scikit-learn | Data Visualization | SQL | Spark | Python | Tableau | Excel | Machine Learning | Statistics | Pandas,R | Matplotlib | TensorFlow,12,15,0.8,0.6536,1.0,0.9,0.6744,0.9193,0.4974,0.625,79
45,Data Science,Senior,"Principal Data Science engineer with deep expertise and strong leadership background. Skills: Data Visualization, Spark, TensorFlow, NumPy, R, Tableau. Background includes architect roles.",Data Visualization | Spark | TensorFlow | NumPy | R | Tableau | Scikit-learn | Power BI | Statistics | Machine Learning,Python | SQL | Pandas | Matplotlib | Excel,10,15,0.6667,0.5346,1.0,0.9,0.5308,0.7969,0.4528,0.5,72
46,Data Science,Senior,"Experienced Data Science architect with 10+ years delivering enterprise-scale solutions. Skills: Statistics, Power BI, SQL, Spark, Matplotlib, Tableau. Background includes lead roles.",Statistics | Power BI | SQL | Spark | Matplotlib | Tableau | NumPy | Scikit-learn | Python | Pandas,R | TensorFlow | Machine Learning | Data Visualization | Excel,10,15,0.6667,0.5276,1.0,0.9,0.5364,0.9648,0.5605,0.75,65
47,Data Science,Senior,"Senior Data Science professional with 8+ years of experience. Led multiple high-impact projects. Skills: Data Visualization, Matplotlib, Power BI, Machine Learning, Python, Scikit-learn. Background includes architect roles.",Data Visualization | Matplotlib | Power BI | Machine Learning | Python | Scikit-learn | SQL | Pandas | Spark | Tableau | Statistics | TensorFlow,R | NumPy | Excel,12,15,0.8,0.722,1.0,0.9,0.7587,0.8753,0.6639,0.75,78
48,Data Science,Senior,"Senior Data Science professional with 8+ years of experience. Led multiple high-impact projects. Skills: NumPy, Machine Learning, TensorFlow, Python, SQL, Matplotlib. Background includes principal roles.",NumPy | Machine Learning | TensorFlow | Python | SQL | Matplotlib | Scikit-learn | R | Spark | Data Visualization | Tableau,Pandas | Power BI | Statistics | Excel,11,15,0.7333,0.6411,1.0,0.9,0.6404,0.6777,0.5038,0.875,76
49,Data Science,Senior,"Experienced Data Science architect with 10+ years delivering enterprise-scale solutions. Skills: Python, Spark, R, Pandas, Power BI, Tableau. Background includes head of roles.",Python | Spark | R | Pandas | Power BI | Tableau | Machine Learning | Matplotlib | Statistics | Scikit-learn,SQL | NumPy | TensorFlow | Data Visualization | Excel,10,15,0.6667,0.4667,1.0,0.9,0.5907,0.7667,0.5752,0.625,65
50,Data Science,Senior,"Senior Data Science professional with 8+ years of experience. Led multiple high-impact projects. Skills: Tableau, Power BI, Spark, Machine Learning, SQL, Excel. Background includes head of roles.",Tableau | Power BI | Spark | Machine Learning | SQL | Excel | TensorFlow | R | Matplotlib,Python | Pandas | NumPy | Scikit-learn | Statistics | Data Visualization,9,15,0.6,0.5378,1.0,0.9,0.4882,0.7285,0.4568,0.5,65
51,Web Development,Entry-Level,"Entry-level Web Development intern with foundational knowledge and strong academic background. Skills: MongoDB, Express, HTML, GraphQL, REST API. Background includes junior roles.",MongoDB | Express | HTML | GraphQL | REST API,CSS | JavaScript | React | Node.js | TypeScript | Git | Docker | Tailwind CSS | Vue.js | Next.js,5,15,0.3333,0.2348,1.0,0.3,0.2676,0.0682,0.2328,0.375,32
52,Web Development,Entry-Level,"Recent graduate with a degree in Computer Science, passionate about Web Development. Skills: Docker, Next.js. Background includes 0-1 years roles.",Docker | Next.js,HTML | CSS | JavaScript | React | Node.js | Express | MongoDB | TypeScript | REST API | Git | Tailwind CSS | Vue.js | GraphQL,2,15,0.1333,0.1175,1.0,0.3,0.1176,0.1272,0.1077,0.0,10
53,Web Development,Entry-Level,Junior Web Development developer eager to learn and grow in a fast-paced environment. Skills: REST API. Background includes trainee roles.,REST API,HTML | CSS | JavaScript | React | Node.js | Express | MongoDB | TypeScript | Git | Docker | Tailwind CSS | Vue.js | GraphQL | Next.js,1,15,0.0667,0.0479,0.4505,0.3,0.0546,0.0164,0.0445,0.0,10
54,Web Development,Entry-Level,Junior Web Development developer eager to learn and grow in a fast-paced environment. Skills: REST API. Background includes junior roles.,REST API,HTML | CSS | JavaScript | React | Node.js | Express | MongoDB | TypeScript | Git | Docker | Tailwind CSS | Vue.js | GraphQL | Next.js,1,15,0.0667,0.0483,0.9615,0.3,0.0566,0.1257,0.058,0.0,10
55,Web Development,Entry-Level,Junior Web Development developer eager to learn and grow in a fast-paced environment. Skills: Next.js. Background includes entry level roles.,Next.js,HTML | CSS | JavaScript | React | Node.js | Express | MongoDB | TypeScript | REST API | Git | Docker | Tailwind CSS | Vue.js | GraphQL,1,15,0.0667,0.045,0.3731,0.3,0.0504,0.0899,0.0439,0.0,10
56,Web Development,Entry-Level,"Junior Web Development developer eager to learn and grow in a fast-paced environment. Skills: Docker, MongoDB, React. Background includes junior roles.",Docker | MongoDB | React,HTML | CSS | JavaScript | Node.js | Express | TypeScript | REST API | Git | Tailwind CSS | Vue.js | GraphQL | Next.js,3,15,0.2,0.1589,1.0,0.3,0.1859,0.0309,0.1334,0.25,15
57,Web Development,Entry-Level,"Recent graduate with a degree in Computer Science, passionate about Web Development. Skills: REST API, TypeScript, Vue.js. Background includes fresher roles.",REST API | TypeScript | Vue.js,HTML | CSS | JavaScript | React | Node.js | Express | MongoDB | Git | Docker | Tailwind CSS | GraphQL | Next.js,3,15,0.2,0.1439,1.0,0.3,0.1703,0.1785,0.1337,0.125,22
58,Web Development,Entry-Level,"Junior Web Development developer eager to learn and grow in a fast-paced environment. Skills: Git, HTML, Tailwind CSS, Vue.js. Background includes graduate roles.",Git | HTML | Tailwind CSS | Vue.js,CSS | JavaScript | React | Node.js | Express | MongoDB | TypeScript | REST API | Docker | GraphQL | Next.js,4,15,0.2667,0.245,1.0,0.3,0.2373,0.2208,0.2258,0.125,25
59,Web Development,Entry-Level,"Entry-level Web Development intern with foundational knowledge and strong academic background. Skills: REST API, Express, TypeScript, Git, Next.js. Background includes 0-1 years roles.",REST API | Express | TypeScript | Git | Next.js,HTML | CSS | JavaScript | React | Node.js | MongoDB | Docker | Tailwind CSS | Vue.js | GraphQL,5,15,0.3333,0.253,1.0,0.3,0.2601,0.1872,0.2311,0.25,23
60,Web Development,Entry-Level,"Junior Web Development developer eager to learn and grow in a fast-paced environment. Skills: GraphQL, Node.js, MongoDB, REST API. Background includes trainee roles.",GraphQL | Node.js | MongoDB | REST API,HTML | CSS | JavaScript | React | Express | TypeScript | Git | Docker | Tailwind CSS | Vue.js | Next.js,4,15,0.2667,0.2327,1.0,0.3,0.2373,0.0774,0.1597,0.25,30
61,Web Development,Entry-Level,"Junior Web Development developer eager to learn and grow in a fast-paced environment. Skills: TypeScript, Next.js, HTML. Background includes 0-1 years roles.",TypeScript | Next.js | HTML,CSS | JavaScript | React | Node.js | Express | MongoDB | REST API | Git | Docker | Tailwind CSS | Vue.js | GraphQL,3,15,0.2,0.134,1.0,0.3,0.1791,0.2489,0.1244,0.25,26
62,Web Development,Entry-Level,Junior Web Development developer eager to learn and grow in a fast-paced environment. Skills: TypeScript. Background includes intern roles.,TypeScript,HTML | CSS | JavaScript | React | Node.js | Express | MongoDB | REST API | Git | Docker | Tailwind CSS | Vue.js | GraphQL | Next.js,1,15,0.0667,0.0588,0.9259,0.3,0.0545,0.0866,0.045,0.125,15
63,Web Development,Entry-Level,Junior Web Development developer eager to learn and grow in a fast-paced environment. Skills: Tailwind CSS. Background includes fresher roles.,Tailwind CSS,HTML | CSS | JavaScript | React | Node.js | Express | MongoDB | TypeScript | REST API | Git | Docker | Vue.js | GraphQL | Next.js,1,15,0.0667,0.044,0.4405,0.3,0.0499,0.2525,0.0564,0.0,10
64,Web Development,Entry-Level,"Recent graduate with a degree in Computer Science, passionate about Web Development. Skills: React. Background includes intern roles.",React,HTML | CSS | JavaScript | Node.js | Express | MongoDB | TypeScript | REST API | Git | Docker | Tailwind CSS | Vue.js | GraphQL | Next.js,1,15,0.0667,0.0434,1.0,0.3,0.0539,0.0275,0.0581,0.125,17
65,Web Development,Entry-Level,"Recent graduate with a degree in Computer Science, passionate about Web Development. Skills: React, CSS, Express, Vue.js, Docker. Background includes entry level roles.",React | CSS | Express | Vue.js | Docker,HTML | JavaScript | Node.js | MongoDB | TypeScript | REST API | Git | Tailwind CSS | GraphQL | Next.js,5,15,0.3333,0.2804,1.0,0.3,0.2583,0.1468,0.2091,0.375,33
66,Web Development,Mid-Level,"Web Development engineer with 4+ years of hands-on experience in building production systems. Skills: HTML, React, Express, Git, Tailwind CSS, GraphQL. Background includes 4+ years roles.",HTML | React | Express | Git | Tailwind CSS | GraphQL | Vue.js | Docker | CSS | TypeScript,JavaScript | Node.js | MongoDB | REST API | Next.js,10,15,0.6667,0.6022,1.0,0.6,0.5712,0.4578,0.5184,0.625,63
67,Web Development,Mid-Level,"Mid-level Web Development developer with 3+ years working on real-world projects. Skills: Docker, REST API, Git, Express, HTML, React. Background includes engineer roles.",Docker | REST API | Git | Express | HTML | React | MongoDB,CSS | JavaScript | Node.js | TypeScript | Tailwind CSS | Vue.js | GraphQL | Next.js,7,15,0.4667,0.348,1.0,0.6,0.3995,0.3707,0.3999,0.5,43
68,Web Development,Mid-Level,"Mid-level Web Development developer with 3+ years working on real-world projects. Skills: Next.js, REST API, Git, Tailwind CSS, TypeScript, HTML. Background includes 4+ years roles.",Next.js | REST API | Git | Tailwind CSS | TypeScript | HTML,CSS | JavaScript | React | Node.js | Express | MongoDB | Docker | Vue.js | GraphQL,6,15,0.4,0.3353,1.0,0.6,0.3126,0.3593,0.2328,0.25,40
69,Web Development,Mid-Level,"Web Development engineer with 4+ years of hands-on experience in building production systems. Skills: Docker, Tailwind CSS, MongoDB, REST API, Vue.js, Next.js. Background includes engineer roles.",Docker | Tailwind CSS | MongoDB | REST API | Vue.js | Next.js | Express | Git,HTML | CSS | JavaScript | React | Node.js | TypeScript | GraphQL,8,15,0.5333,0.5047,1.0,0.6,0.3908,0.3567,0.3166,0.25,51
